speed	lag_time	time_points
ENSMUSG00000019988	0.848	0	2
ENSMUSG00000008398	0.525931558935361	8.08095720069405	3
ENSMUSG00000015889	0.7296	5.04385964912279	3
ENSMUSG00000036099	1.328	4.06626506024108	2
ENSMUSG00000020024	2.072	11.7707528957529	2
ENSMUSG00000045867	0.21984	0	1
ENSMUSG00000062981	0.544	6.38602941176469	2
ENSMUSG00000019952	1.64	10.265243902439	2
ENSMUSG00000090035	0.92168	0	1
ENSMUSG00000036676	0.80596	0	1
ENSMUSG00000019907	1.944	14.4027777777778	2
ENSMUSG00000020185	0.784000000000001	9.23214285714291	2
ENSMUSG00000020186	0.00096	0	1
ENSMUSG00000035798	2.224	20.5642985611511	2
ENSMUSG00000058799	0.0018	0	1
ENSMUSG00000064181	1.152	12.5182291666667	2
ENSMUSG00000055531	0.07256	0	1
ENSMUSG00000052681	0.936	0	1
ENSMUSG00000020212	0.464	0	1
ENSMUSG00000020228	0.38772	0	1
ENSMUSG00000020225	0.5504	6.01199127906976	3
ENSMUSG00000048661	1.528	14.1812827225131	2
ENSMUSG00000034707	0.30733	0	2
ENSMUSG00000025795	1.752	14.1272831050229	2
ENSMUSG00000053684	0.23984	0	2
ENSMUSG00000034620	0.3311	0	2
ENSMUSG00000020124	1.4	4.61857142857149	2
ENSMUSG00000020105	1.15268501529052	7.14677427342446	3
ENSMUSG00000040521	0.09678	0	1
ENSMUSG00000040502	0.24	10.8333333333333	2
ENSMUSG00000040462	0.64	16.6265625	2
ENSMUSG00000006731	0.14	0	2
ENSMUSG00000040441	0.18888	0	1
ENSMUSG00000025417	0.3712	18.6934267241379	3
ENSMUSG00000074657	0.639826086956521	10.7835462535109	3
ENSMUSG00000040345	0.338268656716418	6.67763854571125	3
ENSMUSG00000025404	2.488	18.8609324758842	2
ENSMUSG00000040249	0.608193333333333	0	3
ENSMUSG00000025395	0.424000000000001	3.77358490566037	2
ENSMUSG00000040033	0.4085	0	1
ENSMUSG00000005682	0.40398	0	2
ENSMUSG00000025369	0.34895	0	2
ENSMUSG00000018166	0.52753	0	2
ENSMUSG00000025352	0.150877768662838	0.258808177468458	4
ENSMUSG00000020448	0.84886	0	2
ENSMUSG00000020439	0.168	0	1
ENSMUSG00000020432	0.31874	0	2
ENSMUSG00000019368	0.50956	0	1
ENSMUSG00000003581	0.20395	0	2
ENSMUSG00000034354	1.984	12.0967741935484	2
ENSMUSG00000020412	0.528	5.95833333333336	2
ENSMUSG00000009073	1.504	8.1549202127659	2
ENSMUSG00000034285	1.744	21.875	2
ENSMUSG00000009090	0.864	16.4618055555556	2
ENSMUSG00000034164	0.874824621263819	9.05818054740836	4
ENSMUSG00000020393	0.76628	0	1
ENSMUSG00000049680	0.82525	0	2
ENSMUSG00000004394	0.16276	0	1
ENSMUSG00000020456	0.24504	0	2
ENSMUSG00000041164	0.23708	0	1
ENSMUSG00000041126	0.524	0	1
ENSMUSG00000041046	0.6992	0	1
ENSMUSG00000020422	0.52402	0	2
ENSMUSG00000020413	0.5516	0	1
ENSMUSG00000020176	2.10126898631908	10.4183926242484	4
ENSMUSG00000049659	1.704	17.612676056338	2
ENSMUSG00000042363	0.0044	0	1
ENSMUSG00000020134	1.2153	0	2
ENSMUSG00000020128	0.5088	0	1
ENSMUSG00000001891	0.880000000000001	0.909090909090963	2
ENSMUSG00000051355	2.392	15.3089464882943	2
ENSMUSG00000020283	0.41874	0	2
ENSMUSG00000020280	1.912	18.5146443514644	2
ENSMUSG00000020273	0.912000000000001	8.05701754385966	2
ENSMUSG00000020464	1.264	12.1384493670886	2
ENSMUSG00000020462	1.664	9.37499999999999	2
ENSMUSG00000020315	2.648	18.1268882175227	2
ENSMUSG00000020311	0.784	9.77806122448983	2
ENSMUSG00000020309	0.65192	0	1
ENSMUSG00000044502	0.331867007672634	6.48085696670777	3
ENSMUSG00000020300	1.66342416452442	4.52472573891826	3
ENSMUSG00000020289	0.736000000000001	0.942934782608717	2
ENSMUSG00000020287	0.24	1.26666666666668	2
ENSMUSG00000040711	1.74490990415335	4.73952352145024	4
ENSMUSG00000044949	1.50493	0	2
ENSMUSG00000020271	0.85108	0	1
ENSMUSG00000057113	0.001	0	1
ENSMUSG00000069910	0.5376	0	1
ENSMUSG00000018849	1.87965008870129	10.7950455370324	4
