P_R_gene	speed
ENSMUSG00000055980	TRUE	0.632497013142174
ENSMUSG00000026142	TRUE	2.61994708662735
ENSMUSG00000026150	TRUE	0.649124924562462
ENSMUSG00000026159	FALSE	0
ENSMUSG00000045658	TRUE	3.57762028585119
ENSMUSG00000026219	FALSE	0
ENSMUSG00000073633	FALSE	0
ENSMUSG00000026220	FALSE	0
ENSMUSG00000036707	TRUE	1.76216216216216
ENSMUSG00000026223	TRUE	0.654054054054054
ENSMUSG00000026227	TRUE	0.0400000000000111
ENSMUSG00000026229	FALSE	0
ENSMUSG00000094638	FALSE	0
ENSMUSG00000062590	TRUE	0.645861239284636
ENSMUSG00000079445	FALSE	0
ENSMUSG00000026234	FALSE	0
ENSMUSG00000026238	FALSE	0
ENSMUSG00000026239	TRUE	0.643411853058461
ENSMUSG00000026240	TRUE	0.929361540650792
ENSMUSG00000053333	TRUE	2.38771552335913
ENSMUSG00000026254	FALSE	0
ENSMUSG00000048000	TRUE	0.855675973109405
ENSMUSG00000026258	FALSE	0
ENSMUSG00000026288	TRUE	0.829328189160419
ENSMUSG00000026289	FALSE	0
ENSMUSG00000056055	FALSE	0
ENSMUSG00000070738	TRUE	1.80803649684248
ENSMUSG00000005501	TRUE	1.39650066502088
ENSMUSG00000044783	TRUE	0.228938906752412
ENSMUSG00000049866	FALSE	0
ENSMUSG00000036206	FALSE	0
ENSMUSG00000055013	TRUE	2.66114915929157
ENSMUSG00000044337	FALSE	0
ENSMUSG00000034432	FALSE	0
ENSMUSG00000026305	TRUE	2.2534536700422
ENSMUSG00000070732	FALSE	0
ENSMUSG00000034343	TRUE	1.12972972972973
ENSMUSG00000026307	FALSE	0
ENSMUSG00000047443	TRUE	0.328435163701985
ENSMUSG00000026309	FALSE	0
ENSMUSG00000034292	TRUE	0.388540677429566
ENSMUSG00000026311	FALSE	0
ENSMUSG00000026313	TRUE	2.13637876676184
ENSMUSG00000026260	FALSE	0
ENSMUSG00000073616	FALSE	0
ENSMUSG00000034220	TRUE	0.381446932006634
ENSMUSG00000026269	TRUE	0.33593527605064
ENSMUSG00000026270	TRUE	0.536038764385221
ENSMUSG00000026271	FALSE	0
ENSMUSG00000014602	TRUE	1.03389464369372
ENSMUSG00000026273	FALSE	0
ENSMUSG00000026274	TRUE	0.889618653908681
ENSMUSG00000026275	TRUE	0.664365214110545
ENSMUSG00000034088	TRUE	1.42785418741859
ENSMUSG00000026276	FALSE	0
ENSMUSG00000034066	FALSE	0
ENSMUSG00000026277	TRUE	0.36969537815126
ENSMUSG00000026278	TRUE	0.411111111111111
ENSMUSG00000026279	TRUE	0.927334465195246
ENSMUSG00000026280	TRUE	0.87294395776997
ENSMUSG00000026281	FALSE	0
ENSMUSG00000026283	TRUE	0.699051008303678
ENSMUSG00000073609	FALSE	0
ENSMUSG00000093805	FALSE	0
ENSMUSG00000051185	TRUE	1.71428571428571
ENSMUSG00000044768	FALSE	0
ENSMUSG00000040648	TRUE	1.44327962471956
ENSMUSG00000026333	TRUE	2.34041113713245
ENSMUSG00000047496	FALSE	0
ENSMUSG00000056536	TRUE	2.12649190245132
ENSMUSG00000026319	TRUE	1.92022776960119
ENSMUSG00000038866	TRUE	0.933035812269086
ENSMUSG00000044340	TRUE	3.16769574103641
ENSMUSG00000009905	FALSE	0
ENSMUSG00000009907	FALSE	0
ENSMUSG00000038702	TRUE	0.536296296296296
ENSMUSG00000026374	FALSE	0
ENSMUSG00000026377	FALSE	0
ENSMUSG00000064302	TRUE	1.60856421009212
ENSMUSG00000026380	FALSE	0
ENSMUSG00000048402	FALSE	0
ENSMUSG00000037035	TRUE	0.337777777777778
ENSMUSG00000004451	TRUE	1.34506202366147
ENSMUSG00000026383	FALSE	0
ENSMUSG00000026384	TRUE	2.31824584545444
ENSMUSG00000036975	TRUE	0.333333333333333
ENSMUSG00000050777	TRUE	0.787235678585159
ENSMUSG00000026385	TRUE	0.333333333333333
ENSMUSG00000026388	TRUE	0.576046471894755
ENSMUSG00000003721	TRUE	0.609636625580277
ENSMUSG00000026339	TRUE	1.25014731720503
ENSMUSG00000001674	TRUE	0.265956854127333
ENSMUSG00000026341	FALSE	0
ENSMUSG00000026342	TRUE	1.15235525895424
ENSMUSG00000036155	TRUE	3.31692195072802
ENSMUSG00000026349	FALSE	0
ENSMUSG00000036104	TRUE	1.4500993583768
ENSMUSG00000036086	TRUE	2.145116644098
ENSMUSG00000056211	TRUE	1.92739112625119
ENSMUSG00000026353	FALSE	0
ENSMUSG00000026354	FALSE	0
ENSMUSG00000026355	FALSE	0
ENSMUSG00000026356	TRUE	1.20925301204819
ENSMUSG00000101904	TRUE	1.07027027027027
ENSMUSG00000026409	FALSE	0
ENSMUSG00000046404	TRUE	0.190380687093779
ENSMUSG00000042510	TRUE	2.66107495782116
ENSMUSG00000016528	TRUE	2.21621621621622
ENSMUSG00000016526	FALSE	0
ENSMUSG00000026427	TRUE	0.625664729896105
ENSMUSG00000042349	FALSE	0
ENSMUSG00000026425	FALSE	0
ENSMUSG00000055184	FALSE	0
ENSMUSG00000042251	TRUE	3.31674836601307
ENSMUSG00000013275	TRUE	0.425650396432111
ENSMUSG00000026433	TRUE	1.73333333333333
ENSMUSG00000026434	FALSE	0
ENSMUSG00000026435	FALSE	0
ENSMUSG00000026436	TRUE	0.875314128943759
ENSMUSG00000026437	TRUE	0.608257381008024
ENSMUSG00000079330	TRUE	0.13645443196005
ENSMUSG00000042115	FALSE	0
ENSMUSG00000009772	TRUE	0.641903300076746
ENSMUSG00000042066	TRUE	0.945593178650488
ENSMUSG00000042046	TRUE	1.05770353428777
ENSMUSG00000026439	FALSE	0
ENSMUSG00000053024	TRUE	1.08632522146421
ENSMUSG00000026442	TRUE	2.1133887707977
ENSMUSG00000054387	FALSE	0
ENSMUSG00000026447	TRUE	0.941825033343448
ENSMUSG00000046062	FALSE	0
ENSMUSG00000041757	TRUE	0.0177777777781512
ENSMUSG00000103421	TRUE	0.432275132275131
ENSMUSG00000102367	TRUE	0.432275132275132
ENSMUSG00000098306	TRUE	0.432275132275132
ENSMUSG00000070644	TRUE	1.6
ENSMUSG00000070643	TRUE	0.85841197088164
ENSMUSG00000090553	FALSE	0
ENSMUSG00000102976	FALSE	0
ENSMUSG00000094410	FALSE	0
ENSMUSG00000102049	FALSE	0
ENSMUSG00000020423	FALSE	0
ENSMUSG00000042429	FALSE	0
ENSMUSG00000026458	TRUE	0.513247048593693
ENSMUSG00000042305	FALSE	0
ENSMUSG00000026456	FALSE	0
ENSMUSG00000026457	FALSE	0
ENSMUSG00000026455	TRUE	1.3558173309666
ENSMUSG00000042229	FALSE	0
ENSMUSG00000042207	FALSE	0
ENSMUSG00000073557	TRUE	2.23641050970377
ENSMUSG00000026429	TRUE	0.594594594594595
ENSMUSG00000026426	TRUE	0.526682052192437
ENSMUSG00000003051	FALSE	0
ENSMUSG00000041926	TRUE	0.754230624225777
ENSMUSG00000062580	FALSE	0
ENSMUSG00000048096	FALSE	0
ENSMUSG00000041889	TRUE	0.384411276948591
ENSMUSG00000041879	TRUE	0.979942849367261
ENSMUSG00000009418	TRUE	0.77088118183392
ENSMUSG00000026421	FALSE	0
ENSMUSG00000041782	FALSE	0
ENSMUSG00000026411	TRUE	0.713513513513513
ENSMUSG00000041642	TRUE	0.872627368591168
ENSMUSG00000041605	TRUE	0.520174340567361
ENSMUSG00000041570	TRUE	1.77243068209515
ENSMUSG00000026404	TRUE	0.735135135135135
ENSMUSG00000041498	TRUE	0.72527167454198
ENSMUSG00000041483	FALSE	0
ENSMUSG00000026398	TRUE	1.77086112643563
ENSMUSG00000026393	TRUE	2.38713455120116
ENSMUSG00000079283	FALSE	0
ENSMUSG00000056268	TRUE	2.47573771300068
ENSMUSG00000033964	TRUE	0.780242026690794
ENSMUSG00000033952	FALSE	0
ENSMUSG00000052726	FALSE	0
ENSMUSG00000026361	FALSE	0
ENSMUSG00000018196	TRUE	0.389047915370254
ENSMUSG00000018199	FALSE	0
ENSMUSG00000018189	FALSE	0
ENSMUSG00000032487	FALSE	0
ENSMUSG00000006010	TRUE	1.20453686200378
ENSMUSG00000006005	TRUE	0.745945945945946
ENSMUSG00000023150	TRUE	0.340185701524052
ENSMUSG00000052748	TRUE	1.27563521119065
ENSMUSG00000053286	TRUE	1.01770500191889
ENSMUSG00000026484	TRUE	0.768291202513568
ENSMUSG00000026483	FALSE	0
ENSMUSG00000043019	TRUE	2.05302653941692
ENSMUSG00000032666	TRUE	3.12640988476951
ENSMUSG00000014980	TRUE	0.658983429528952
ENSMUSG00000026482	TRUE	2.03196800619224
ENSMUSG00000008475	FALSE	0
ENSMUSG00000042772	FALSE	0
ENSMUSG00000042751	FALSE	0
ENSMUSG00000026478	FALSE	0
ENSMUSG00000042708	FALSE	0
ENSMUSG00000042699	FALSE	0
ENSMUSG00000042684	TRUE	0.820802291341497
ENSMUSG00000026475	TRUE	0.266666666666667
ENSMUSG00000045968	FALSE	0
ENSMUSG00000026473	TRUE	0.103703703703704
ENSMUSG00000026470	TRUE	0.997093738569481
ENSMUSG00000033722	TRUE	0.0400000000000891
ENSMUSG00000026469	FALSE	0
ENSMUSG00000033701	TRUE	4.23280559829272
ENSMUSG00000033684	TRUE	1.08636960846879
ENSMUSG00000033671	TRUE	2.33215072022305
