Chromatin_PolyA	Chromatin_Total	Cytoplasm_PolyA	Cytoplasm_Total	Nucleoplasm_PolyA	Nucleoplasm_Total
ENSMUSG00000000628	7.3727839977403	6.7198997290756	8.22463080040682	8.36667191054367	7.98112688837647	8.00233536302475
ENSMUSG00000000631	5.53289076521563	4.35193773294079	5.62465500031198	0.000000413649038119365	6.16913350292438	6.1928310425452
ENSMUSG00000000686	1.9927835200672	3.55097723576771	0	2.3790128775302	1.35774509916731	1.53847340603158
ENSMUSG00000000693	4.83219604524305	3.0951584563181	3.06585193073223	0	3.74856143417726	3.22302413237307
ENSMUSG00000000706	2.43271717346	3.32909114791702	1.73395068122103	0	2.02553461229884	1.61617796106286
ENSMUSG00000000708	6.2011558945142	6.10494157544175	6.69148376401909	6.7165026913505	6.27535882195172	6.32504380250429
ENSMUSG00000000711	6.03723520383881	5.24703820757685	6.85769088890136	6.76792581123348	6.18923648755364	6.04241487125812
ENSMUSG00000000730	4.36350166031466	3.14804796478144	5.39761609070276	4.51581490852096	4.7415836915425	3.29621895298675
ENSMUSG00000000732	4.25556438565184	1.80954043391082	3.12729421860809	0	4.27293312621961	4.00286272385545
ENSMUSG00000000738	4.85491017780995	3.57478599379617	4.71727699918282	4.62263939306836	5.23605676192225	5.11184010251358
ENSMUSG00000000739	3.57147019516758	4.73969379847759	1.84307195630922	2.55481600051377	2.41831010520191	2.775506229305
ENSMUSG00000000740	8.27359095812683	5.98283845039854	9.81098360133242	9.35125876965588	8.90806322531819	8.38636764048892
ENSMUSG00000000743	6.09548250095671	4.69970453781711	6.72954077849484	6.08858038921726	5.89937214651212	5.58885281161291
ENSMUSG00000000751	6.83030786558425	5.38258256272827	8.09655220667027	7.76898846145639	7.19769953575358	6.86318792422757
ENSMUSG00000000753	1.56977607896575	2.27475974264524	1.10514489360962	0	1.80507558161289	0
ENSMUSG00000000759	0.0109218421349892	4.05763155341498	5.46119935893905	5.89343858889827	4.45514386891952	4.99024967242045
ENSMUSG00000000766	0.448078318420641	2.28811630486801	0	0	0.189924981812927	1.46954946904258
ENSMUSG00000000776	5.05984451423349	4.03432919877191	5.74489764832995	5.55945861526467	4.9226476734896	4.97365201616967
ENSMUSG00000000782	5.32959300711627	4.99694794472415	6.24361234094825	5.63792551777455	5.57191455001469	5.44609423933555
ENSMUSG00000000787	7.44400870320187	7.00432430852557	8.60576241747765	8.59463885669807	8.08653563537942	7.97781689916776
ENSMUSG00000000791	0	2.07741498079792	1.88816631365412	2.35911025015119	1.56933204642076	2.03566436678867
ENSMUSG00000000794	1.46423533560354	2.27560672528435	0.876638585800832	0	1.80750974339179	0
ENSMUSG00000000804	5.45650623581345	5.48140139481007	5.94547978104861	6.19347852437756	5.59898123757965	5.72723974185328
ENSMUSG00000000811	3.81710809791214	3.6740429761928	4.33185804553304	3.88993406579506	3.81720949487727	0
ENSMUSG00000000823	6.63940564507145	5.58222379127893	5.53876740955859	5.48867427913285	5.35030357430778	5.06645553988688
ENSMUSG00000000826	5.73143852556106	5.54417977525372	5.92305765924019	5.00168784776755	5.44754537877691	5.37559759968759
ENSMUSG00000000827	4.78507235575862	0.000000246266355745688	5.6525720780136	4.90426381132357	4.86021974906163	4.60226941811083
ENSMUSG00000000838	5.70571422135768	5.39560110384027	7.08520835814342	7.23774553236359	6.80591849491547	6.92544628642016
ENSMUSG00000000861	2.32966164756391	3.24417727509529	1.07109030620695	0	1.3501511769676	0
ENSMUSG00000000876	4.47195712873749	4.84722517152665	4.83451530625258	4.7861234159963	4.69023775754076	4.87617636603741
ENSMUSG00000000881	3.71287942544318	3.16414735618391	4.22310709634257	0	3.33630480600955	3.80790462781193
ENSMUSG00000000884	3.22431367569623	3.12782193235074	1.30607483179707	2.87314434741507	2.70801603111736	2.47480199625022
ENSMUSG00000000901	5.95744325093439	4.36825826906934	5.18532876645304	4.83146969714346	5.99354942865806	5.06984956235245
ENSMUSG00000000902	5.14537448209027	3.73484282316446	6.74879580581542	6.86267968441134	5.64727958465914	5.2092203485092
ENSMUSG00000000903	1.97154895730185	2.70588839002478	0	0	0.765285978671528	1.46526007174926
ENSMUSG00000000915	6.05250313310364	5.09744937183494	5.2194265867868	4.98470338333836	5.13826979719021	5.04983550996622
ENSMUSG00000000916	5.81715242849312	3.79352202844224	5.62788906983411	5.59557392038571	5.05216806594133	3.97443721651602
ENSMUSG00000000934	4.17558907845519	3.21954671692052	4.09811234136009	3.37828102243724	3.76049709805756	3.0593688466061
ENSMUSG00000000938	0	2.46836572838682	1.38287966223746	2.8578591073867	0.877094034510594	0
ENSMUSG00000000957	3.94896187263397	1.81620736504145	3.54055934982739	3.30078449219815	4.7948807615552	4.59012115525229
ENSMUSG00000000958	3.7655935890883	2.76685031812174	4.32491110012948	0	4.08283279673032	0
ENSMUSG00000000959	6.15635159686753	4.82248532500712	6.8122505947319	6.52973450619931	6.46855359794469	6.13852316858642
ENSMUSG00000000976	5.80185107717646	5.33710964646909	5.32138912781539	4.91292930482459	5.20867030513442	4.95732676051827
ENSMUSG00000001016	5.2819888188201	4.29293726626689	6.75336612564674	6.1133383867577	5.64445330655243	5.36512881666678
ENSMUSG00000001017	6.32577954492153	4.54957345141164	7.32657057528615	6.85236176815223	6.4673242984415	6.17385983608131
ENSMUSG00000001018	3.88490484183291	0.462539993616544	4.65704262759252	4.52052582784999	3.93759135951805	0
ENSMUSG00000001025	2.15853536052637	1.83063604420412	2.93195816889707	0	2.3781648684334	2.39662233342898
ENSMUSG00000001027	1.76436613964477	2.53168782903307	0.300870501771748	0	0.607916150044651	0
ENSMUSG00000001029	2.15341445063464	2.07741498079792	1.57476490645636	0	1.90106989335117	1.80378001104904
ENSMUSG00000001034	5.37981508772455	3.99685344309462	5.52956447393814	5.91362768015965	5.17423946284584	3.14253647192373
ENSMUSG00000001036	5.97762027481824	6.09570690739851	6.27633817215069	6.35586846196044	6.04704444746784	6.2414156362485
ENSMUSG00000001039	4.04005374550057	3.25411024286328	4.87121710457559	4.47418876702931	4.50658041479878	4.10032363331632
ENSMUSG00000001052	6.19370561775563	5.98859378607443	6.5332069369101	6.98643182725198	6.24623852425269	6.56350505423642
ENSMUSG00000001053	5.51522761033753	5.0217518881503	6.21384878317558	5.75075578820951	5.38278970411606	4.96056094316749
ENSMUSG00000001054	5.94727673972049	5.35149985304698	6.44356929983668	6.24300222389313	5.65212801177376	5.7124141121697
ENSMUSG00000001056	5.58490572451119	4.55482561423863	7.09482299273416	6.62549297989575	6.32029294711066	5.75483143783891
ENSMUSG00000001062	1.67484353869899	0	2.99498022943928	3.50290434117879	2.58155687829262	0
ENSMUSG00000001065	4.44688659274664	3.64172241998478	4.31448605627568	4.74080036827729	4.08708467832159	4.14215867321719
ENSMUSG00000001076	1.84291627396877	2.71820958797022	1.13227777114771	0	1.78306854090431	2.03566436678867
ENSMUSG00000001082	5.74239840595575	3.55102232729503	5.33851698082277	0	6.45466631885458	6.21677753271983
ENSMUSG00000001089	5.31774429682212	0.0333996064839153	5.91091951979159	0.0737578565887902	5.70356276897687	5.81988288025215
ENSMUSG00000001095	3.06459700844365	3.00595290482988	2.11711206367133	2.35911025015119	2.79921067550732	2.74993930993914
ENSMUSG00000001098	5.02804134230011	3.7227429437719	5.67240239519325	5.70548447845155	4.95220660227256	4.19319775641028
ENSMUSG00000001100	5.99950938869991	5.01921279490703	6.8081861193085	6.21636280606049	5.93860356452517	5.67210300169543
ENSMUSG00000001103	0	3.23645298760594	0	0	0	0
ENSMUSG00000001105	4.91887599088755	3.46497357353087	5.45830077356685	3.99527837089429	4.76711148668328	4.12421249649274
ENSMUSG00000001119	0.55538884025326	2.70588839002478	0	2.35911025015119	0.9874768768774	0
ENSMUSG00000001120	3.78506027080824	0	4.1403881338067	4.74206287674178	3.0612274473227	0
